2026-08-28T16:20:39.675|10000000|G1001|Joey Miller|202|DELUXE|2026-08-10|2026-08-11|1|UNPAID|212.0
2026-08-28T16:20:39.675|10000004|G1003|Damien White|204|DELUXE|2026-08-18|2026-08-19|1|UNPAID|190.8
2026-08-28T16:20:39.676|10000005|G1004|Jude Harris|301|SUITE|2026-08-20|2026-08-22|2|UNPAID|901.0
2026-08-28T16:20:39.676|10000006|G1005|Kaizen Scott|301|SUITE|2026-08-12|2026-08-16|4|UNPAID|1696.0
2026-08-28T16:20:39.676|10000010|G1007|Roxy King|302|SUITE|2026-08-24|2026-08-30|6|UNPAID|3021.0
2026-08-28T16:20:39.676|10000015|G1007|Roxy King|202|DELUXE|2026-08-23|2026-08-30|7|UNPAID|1409.8
2026-08-28T16:20:39.676|10000016|G1001|Joey Miller|302|SUITE|2026-08-20|2026-08-22|2|UNPAID|1060.0
2026-08-28T16:20:39.677|10000022|G1002|Birdy Clark|302|SUITE|2026-08-01|2026-08-12|11|UNPAID|5538.5
2026-08-29T18:47:50.618898600|10000009|G1006|Elvin Young|301|SUITE|2026-08-24|2026-08-30|6|PAID|4512.0
2026-08-29T18:57:35.170302200|10000003|G1002|Birdy Clark|203|DELUXE|2026-08-15|2026-08-16|1|PAID|3451.4
2026-08-29T19:14:42.362794200|10000027|G1004|Jude Harris|301|SUITE|2026-08-29|2026-08-31|2|UNPAID|954.0
2026-08-29T19:53:40.807139700|10000018|G1004|Jude Harris|103|STANDARD|2026-08-29|2026-09-01|3|UNPAID|286.2
2026-08-29T21:12:05.109727600|10000031|G1004|Jude Harris|203|DELUXE|2026-08-29|2026-09-01|3|UNPAID|572.4
