10000000|G1001|Joey Miller|STANDARD|202|DELUXE|2026-08-10|2026-08-11|1|200.0|200.0|0.0|0.0|0.06|12.0|212.0|FINAL|UNPAID|CHECKED_OUT|2026-08-28T17:04:22.153963400
10000003|G1002|Birdy Clark|SILVER|203|DELUXE|2026-08-15|2026-08-16|1|200.0|200.0|0.05|10.0|0.06|11.4|201.4|OPEN|UNPAID|CONFIRMED|2026-08-28T17:04:22.153963400
10000004|G1003|Damien White|GOLD|204|DELUXE|2026-08-18|2026-08-19|1|200.0|200.0|0.1|20.0|0.06|10.799999999999999|190.8|FINAL|UNPAID|CHECKED_OUT|2026-08-28T17:04:22.155490300
10000005|G1004|Jude Harris|PLATINUM|301|SUITE|2026-08-20|2026-08-22|2|500.0|1000.0|0.15|150.0|0.06|51.0|901.0|FINAL|UNPAID|CHECKED_OUT|2026-08-28T17:04:22.155490300
10000006|G1005|Kaizen Scott|DIAMOND|301|SUITE|2026-08-12|2026-08-16|4|500.0|2000.0|0.2|400.0|0.06|96.0|1696.0|FINAL|UNPAID|CHECKED_OUT|2026-08-28T17:04:22.156101900
10000009|G1006|Elvin Young|STANDARD|301|SUITE|2026-08-24|2026-08-30|6|500.0|3000.0|0.0|0.0|0.06|180.0|3180.0|OPEN|UNPAID|CHECKED_IN|2026-08-28T17:04:22.156101900
10000010|G1007|Roxy King|SILVER|302|SUITE|2026-08-24|2026-08-30|6|500.0|3000.0|0.05|150.0|0.06|171.0|3021.0|FINAL|UNPAID|CHECKED_OUT|2026-08-28T17:04:22.156101900
10000015|G1007|Roxy King|SILVER|202|DELUXE|2026-08-23|2026-08-30|7|200.0|1400.0|0.05|70.0|0.06|79.8|1409.8|FINAL|UNPAID|CHECKED_OUT|2026-08-28T17:04:22.156101900
10000023|G1004|Jude Harris|PLATINUM||SUITE|2026-08-22|2026-08-23|1|0.0|0.0|0.15|0.0|0.06|0.0|0.0|OPEN|UNPAID|PENDING|2026-08-28T17:04:22.158112900
10000024|G1002|Birdy Clark|SILVER||DELUXE|2026-08-22|2026-08-23|1|0.0|0.0|0.05|0.0|0.06|0.0|0.0|OPEN|UNPAID|PENDING|2026-08-28T17:04:22.158112900
10000025|G1005|Kaizen Scott|DIAMOND||SUITE|2026-08-21|2026-08-22|1|0.0|0.0|0.2|0.0|0.06|0.0|0.0|OPEN|UNPAID|PENDING|2026-08-28T17:04:22.159113700
10000026|G1003|Damien White|GOLD||SUITE|2026-08-21|2026-08-22|1|0.0|0.0|0.1|0.0|0.06|0.0|0.0|OPEN|UNPAID|PENDING|2026-08-28T17:04:22.159113700
10000027|G1008|Eason Smith|DIAMOND||SUITE|2026-08-20|2026-08-21|1|0.0|0.0|0.2|0.0|0.06|0.0|0.0|OPEN|UNPAID|PENDING|2026-08-28T17:04:22.159113700
